S.No,State Name,Population  (5 < 18Y) (Projected 2023)*,Numbers of  Aadhaar assigned (LIVE),Saturation % (LIVE)
1,A & N Islands,"62,027","71,484",115.25%
2,Andhra Pradesh,"98,85,624","96,38,058",97.50%
3,Arunachal Pradesh,"2,40,414","3,19,049",132.71%
4,Assam,"85,20,857","70,16,748",82.35%
5,Bihar,"3,72,18,477","3,05,59,780",82.11%
6,Chandigarh**,"2,62,143","2,42,883",92.65%
7,Chhattisgarh,"72,52,082","64,12,663",88.43%
8,Dadra & Nagar Haveli and Daman & Diu**,"1,55,979","1,33,046",85.30%
9,Delhi,"38,49,019","49,77,457",129.32%
10,Goa,"2,42,415","2,55,140",105.25%
11,Gujarat,"1,54,24,806","1,36,07,673",88.22%
12,Haryana,"66,26,246","66,67,133",100.62%
13,Himachal Pradesh,"14,20,071","14,69,628",103.49%
14,Jammu Kashmir,"32,06,972","27,37,535",85.36%
15,Jharkhand,"1,02,04,266","98,79,355",96.82%
16,Karnataka,"1,34,36,120","1,29,06,668",96.06%
17,Kerala,"65,18,291","62,02,992",95.16%
18,Ladakh,"46,174","50,688",109.77%
19,Lakshadweep,"10,620","13,767",129.64%
20,Madhya Pradesh,"2,16,53,970","1,83,08,725",84.55%
21,Maharashtra,"2,49,42,443","2,32,27,638",93.12%
22,Manipur,"4,96,066","6,19,705",124.92%
23,Meghalaya,"5,15,459","5,36,865",104.15%
24,Mizoram,"1,90,546","2,85,452",149.81%
25,Nagaland,"3,43,691","2,76,175",80.36%
26,Odisha,"97,76,886","90,57,039",92.64%
27,Puducherry**,"2,49,419","2,20,135",88.26%
28,Punjab,"57,21,803","57,35,052",100.23%
29,Rajasthan,"2,05,27,846","1,80,93,807",88.14%
30,Sikkim,"1,06,047","85,688",80.80%
31,Tamil Nadu,"1,38,65,624","1,26,98,270",91.58%
32,Telangana,"74,24,142","75,31,267",101.44%
33,Tripura,"6,38,283","7,50,991",117.66%
34,Uttar Pradesh,"6,09,75,656","5,51,84,887",90.50%
35,Uttarakhand,"25,18,509","25,44,399",101.03%
36,West Bengal,"1,93,04,845","1,80,72,702",93.62%
,,,,
TOTAL,,"31,38,33,838","28,63,90,546",91.26%
*As per RGI data,,,,
"**The revised population updated as received from UT administration office of DD and DNH vide letter
COL/Aadhaar-Awareness/2021-22/3060 dated 02 Nov 21",,,,
**The revised population of Chandigarh updated as received from RO Chandigarh RO-CHD-17020/4/2020-RO- CHD/2859 Dated 17.12.2021,,,,
**The revised population of Puducherry updated as received from RO Bengaluru  Dated 27.12.2021,,,,
,,,,
,,,,
,,,,
,,,,
