S.No,State Name,Total Population (Projected 2023)*,Numbers of  Aadhaar assigned (LIVE),Saturation % (LIVE)
1,A & N Islands,"4,03,000","3,87,442",96.14%
2,Andhra Pradesh,"5,31,56,000","5,17,08,514",97.28%
3,Arunachal Pradesh,"15,62,000","12,37,756",79.24%
4,Assam,"3,57,13,000","3,05,07,919",85.43%
5,Bihar,"12,67,56,000","10,87,79,039",85.82%
6,Chandigarh**,"12,31,000","11,58,593",94.12%
7,Chhattisgarh,"3,01,80,000","2,81,32,668",93.22%
8,Dadra & Nagar Haveli and Daman & Diu**,"6,50,880","5,99,432",92.10%
9,Delhi,"2,13,59,000","2,26,51,593",106.05%
10,Goa,"15,75,000","16,16,077",102.61%
11,Gujarat,"7,15,07,000","6,51,66,810",91.13%
12,Haryana,"3,02,09,000","3,00,38,583",99.44%
13,Himachal Pradesh,"74,68,000","77,29,456",103.50%
14,Jammu Kashmir,"1,36,03,000","1,16,76,416",85.84%
15,Jharkhand,"3,94,66,000","3,57,30,236",90.53%
16,Karnataka,"6,76,92,000","6,45,10,025",95.30%
17,Kerala,"3,57,76,000","3,72,04,366",103.99%
18,Ladakh,"3,00,000","2,38,896",79.63%
19,Lakshadweep,"69,000","73,546",106.59%
20,Madhya Pradesh,"8,65,79,000","7,75,92,017",89.62%
21,Maharashtra,"12,63,85,000","11,83,09,601",93.61%
22,Manipur,"32,23,000","26,33,441",81.71%
23,Meghalaya,"33,49,000","23,04,621",68.82%
24,Mizoram,"12,38,000","11,90,413",96.16%
25,Nagaland,"22,33,000","13,55,835",60.72%
26,Odisha,"4,62,76,000","4,38,67,828",94.80%
27,Puducherry**,"13,76,974","12,88,694",93.59%
28,Punjab,"3,07,30,000","3,11,30,060",101.30%
29,Rajasthan,"8,10,25,000","7,49,38,355",92.49%
30,Sikkim,"6,89,000","5,74,111",83.33%
31,Tamil Nadu,"7,68,60,000","7,39,50,810",96.21%
32,Telangana,"3,80,90,000","3,83,49,916",100.68%
33,Tripura,"41,47,000","38,05,493",91.76%
34,Uttar Pradesh,"23,56,87,000","21,69,78,472",92.06%
35,Uttarakhand,"1,16,37,000","1,15,54,695",99.29%
36,West Bengal,"9,90,84,000","9,58,48,044",96.73%
,,,,
TOTAL,,"1,38,72,84,855","1,29,48,19,773",93.33%
*As per RGI data,,,,
"**The revised population updated as received from UT administration office of DD and DNH vide letter
COL/Aadhaar-Awareness/2021-22/3060 dated 02 Nov 21",,,,
**The revised population of Chandigarh updated as received from RO Chandigarh RO-CHD-17020/4/2020-RO- CHD/2859 Dated 17.12.2021,,,,
**The revised population of Puducherry updated as received from RO Bengaluru  Dated 27.12.2021,,,,
,,,,
,,,,
,,,,
,,,,
